1	0.11	0.302		255908	1	13026
2	105.40	47.129		46544989	246591	843462
3	71.29	25.580		30242351	177382	657988
4	64.81	23.399		33290336	168850	667966
5	89.43	29.435		34468491	193527	695952
6	22.55	6.097		15831436	88352	452303
7	19.75	5.806		15930607	80952	449248
8	1593.58	1127.048		431600112	2421760	4887977
9	55.31	19.439		30319761	162905	639521
10	23.72	5.893		17236417	85421	468731
11	3.61	1.375		8604610	26936	322019
12	9247.63	8340.846		1825371215	8657709	17478328
13	828.02	489.728		236010531	1248395	2832651
14	321.19	168.766		116755324	624355	1683167
15	489.36	241.170		142171812	832026	1986627
16	175.89	85.171		67731269	378753	1136841
17	75.73	37.085		36753867	211496	712967
18	61.18	23.825		33585529	181860	672800
19	1329.20	875.806		349984802	2136292	4259666
20	127.81	75.668		58107195	321846	1038877
21	33.83	10.673		23175935	117626	538031
22	29.44	8.606		18763707	107896	468805
23	3825.94	2593.675		819290799	3931342	8229782
24	1063.15	577.493		302514321	1557825	3488366
25	556.91	237.616		168110949	893125	2167684
26	666.13	384.924		192900978	1041055	2425743
27	392.17	182.938		121171563	683992	1713350
28	203.60	90.658		80551887	432801	1261261
29	87.58	34.850		40841894	223409	726375
30	1071.57	762.253		303854284	1716637	3597755
31	229.01	130.154		87123583	511660	1364619
32	69.67	33.125		34045920	189957	656231
33	33.90	13.484		26728095	142987	576856
34	1834.21	1043.036		480834655	2573856	5362665
35	138.61	55.136		56372199	303181	1017611
36	1630.77	989.654		475691868	2458724	5253329
37	914.38	513.110		272016536	1437616	3171746
38	9.56	2.593		12113158	52810	392542
39	191.19	61.921		65127553	324762	1041709
40	189.76	64.703		62989113	338864	1015541
41	8.62	2.474		10787552	49464	363748
42	149.99	52.706		56577230	307297	1016776
43	55.64	16.128		30159248	161261	631288
44	8.55	2.137		10913232	44514	375874
45	69.13	24.156		34349107	203543	683186
46	5.53	1.953		10025390	38418	385525
47	0.41	0.371		929213	1020	34869
48	1948.96	1295.440		544632385	2928623	5963307
49	598.92	292.436		173206258	936974	2291037
50	8.22	2.214		11272598	46130	376309
51	191.46	70.050		65521716	329808	1027444
52	60.17	21.060		31596586	165028	643192
53	8.97	2.620		11100039	48207	386793
54	999.88	565.523		265115057	1461750	3202466
55	24.13	7.115		19812810	105695	504053
56	7.39	2.317		11515527	48617	387619
57	118.46	34.135		47267592	242001	830309
58	30.60	8.389		22279595	124022	537632
59	4.90	1.455		9974601	31511	361528
60	9.79	2.949		11507086	51556	383691
61	5.86	1.809		11352096	37683	377903
62	6.77	2.335		11476319	43778	384396
63	0.34	0.357		826289	1311	32894
